Altium Designer Pick and Place Locations
E:\Project\Altium\TEST\PCB_Project_1\Project Outputs for Super_Big\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       28/08/25
Time:       21:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Value","Footprint","Description"
"J3","4_pin connector","100.8380","68.1990","TopLayer","180","","4_PIN_2.54mm",""
"BS1","Buzzer","80.6770","38.1000","TopLayer","360","","Buzzer",""
"HD5","6-pin connnector (Encoder DC motor 2mm)","88.4880","76.1365","BottomLayer","270","","6_PIN_MOTOR",""
"HD3","3_pin conn","121.6025","71.0565","TopLayer","90","","3-pin_XHB_2.54",""
"D6","TVS_5V","55.7530","42.3860","BottomLayer","270","","DIOT_M5_025X220N",""
"D5","SS54","41.5290","56.5150","BottomLayer","90","","DIOT_M5_025X220N","Diode Schottky 40 V 5A Surface Mount DO-214AC (SMA)"
"U2","STM32F405RGT6","100.5840","54.2290","TopLayer","0","","LQFP64-10x10mm","High-performance foundation line, Arm Cortex-M4 core with DSP and FPU, 1 Mbyte of Flash memory, 168 MHz CPU, ART Accelerator"
"C1","10uF","79.8830","68.5800","TopLayer","270","","C1206","Capacitor"
"C2","100nF","76.9620","68.7070","TopLayer","270","","6-0805_M","Capacitor"
"C3","10uF","90.6780","69.4690","TopLayer","90","","C1206","Capacitor"
"C4","100nF","93.5990","69.5960","TopLayer","90","","6-0805_M","Capacitor"
"C5","Cap Pol1","98.6790","42.1640","TopLayer","270","4.7uF","C1206","Polarized Capacitor (Radial)"
"C6","100nF","107.3310","45.5930","TopLayer","360","","6-0805_M","Capacitor"
"C7","100nF","110.4900","59.9440","TopLayer","360","","6-0805_M","Capacitor"
"C9","100nF","97.7900","63.1190","TopLayer","360","","6-0805_M","Capacitor"
"C10","100nF","118.6180","39.7510","TopLayer","180","","6-0805_M","Capacitor"
"C13","2.2uF","110.3630","57.4040","TopLayer","360","","6-0805_M","Capacitor"
"C14","2.2uF","103.8860","44.8310","TopLayer","270","","6-0805_M","Capacitor"
"C15","100nF","91.3130","60.0710","TopLayer","90","","6-0805_M","Capacitor"
"C16","100nF","47.8790","111.3790","TopLayer","270","","6-0805_M","Capacitor"
"C17","100nF","111.6330","111.7760","TopLayer","270","","6-0805_M","Capacitor"
"C18","330uF/25V","55.3720","112.7760","TopLayer","360","104","CAP-ALU-SMD-F","Capacitor (Semiconductor SIM Model)"
"C19","330uF/25V","103.8860","112.7760","TopLayer","180","104","CAP-ALU-SMD-F","Capacitor (Semiconductor SIM Model)"
"C20","100nF","118.7450","60.8330","TopLayer","270","","6-0805_M","Capacitor"
"C21","100nF","85.9790","34.5440","TopLayer","270","","6-0805_M","Capacitor"
"C22","100nF","104.0130","36.3220","BottomLayer","360","","6-0805_M","Capacitor"
"C23","100nF","45.3390","111.3790","TopLayer","270","","6-0805_M","Capacitor"
"C24","10nF","59.0550","35.6870","BottomLayer","270","","6-0805_M","Capacitor"
"C25","100nF","114.1730","111.7600","TopLayer","270","","6-0805_M","Capacitor"
"C26","33nF","39.8780","46.1010","BottomLayer","360","","6-0805_M","Capacitor"
"C27","470uF","47.2440","41.6560","BottomLayer","270","680uF","CAP-ALU-SMD-F","Polarized Capacitor (Surface Mount)"
"C28","105","35.6400","70.9930","BottomLayer","360","","C1206","Capacitor"
"C29","105","35.5600","66.1670","BottomLayer","180","","C1206","Capacitor"
"C30","105","52.8320","42.2910","BottomLayer","90","","C1206","Capacitor"
"C31","1nF","66.1510","34.5440","TopLayer","360","","6-0805_M","Capacitor"
"C32","100nF","71.2470","37.7190","TopLayer","270","","6-0805_M","Capacitor"
"C33","100nF","73.2790","56.3880","BottomLayer","90","","6-0805_M","Capacitor"
"C34","100nF","70.4850","46.3550","BottomLayer","360","","6-0805_M","Capacitor"
"C38","470uF","50.0380","76.2000","BottomLayer","360","680uF","CAP-ALU-SMD-F","Polarized Capacitor (Surface Mount)"
"C43","22pF","77.5970","59.9440","TopLayer","90","","6-0805_M","Capacitor"
"C44","22pF","88.2650","60.0710","TopLayer","90","","6-0805_M","Capacitor"
"D7","LED_R","35.3060","67.3100","TopLayer","360","","6-0805_M","Typical RED GaAs LED"
"D8","LED_R","35.3220","49.7840","TopLayer","360","","6-0805_M","Typical RED GaAs LED"
"F1","F/3A","46.3550","58.4200","TopLayer","180","","FUSE_(6.1_x_2.69_x_2.69mm)_-_duplicate",""
"HD1","Header2","33.5280","56.1340","TopLayer","270","","HDR2","Header IDC, 2 x 1 Pin Vertical 2.54mm Pitch (Non-Boxed, Male)"
"HD2","2_pin connector","34.9250","77.0140","TopLayer","180","","2_PIN_POWER_3.96",""
"HD4","6-pin connnector (Encoder DC motor 2mm)","69.2790","76.1365","BottomLayer","270","","6_PIN_MOTOR",""
"L1","33uH/4.2A","51.6890","54.3560","BottomLayer","360","","IND_CDRH127/LDNP-470MC_SUM","Inductor"
"Q1","IRFZ44","53.3210","44.9580","TopLayer","90","IRF840","TO-263",""
"R1","10K","90.0430","46.8630","TopLayer","360","10K","6-0805_N","Resistor"
"R2","10K","90.0430","44.9580","TopLayer","360","10K","6-0805_N","Resistor"
"R3","10k","68.0720","71.6280","TopLayer","0","10K","6-0805_N","Resistor"
"R4","10K","60.5790","52.1970","BottomLayer","90","1.5k","6-0805_N","Resistor"
"R5","10K","61.2140","68.1990","TopLayer","90","10K","6-0805_N","Resistor"
"R6","10K","73.2790","68.0720","TopLayer","90","10K","6-0805_N","Resistor"
"R7","10K","67.4370","49.6570","BottomLayer","360","10K","6-0805_N","Resistor"
"R8","20K","61.8490","35.8140","BottomLayer","90","15K","6-0805_N","Resistor"
"R10","10K","39.8780","43.6880","BottomLayer","180","1.5k","6-0805_N","Resistor"
